Text,pin
"Lyra sips her morning coffee, staring blankly at the wall as she waits for the latest batch of coordinates ",exposition
"The door to her small office creaks open, and her supervisor, Mr. Blackwood, enters with a folder full of papers ",description
"""Good morning, Lyra,"" he says, handing her the folder without looking up from his phone ",dialogue
"Lyra takes the folder, her eyes scanning the contents as she tries to focus on the task at hand ",actions
"She starts to input the coordinates into her computer, but her fingers move slowly and deliberately, as if hesitant ",description
"""Everything okay?"" Mr. Blackwood asks, his voice tinged with concern ",dialogue
"Lyra forces a smile, waving him off with a dismissive hand, trying not to reveal her growing unease ",actions
"As she works, Lyra can't shake the feeling that something is off about this latest batch of coordinates ",exposition
"She zooms in on one location, noticing an unusual pattern of empty space where there should be water ",description
"""What's going on here?"" she mutters to herself, frowning at the computer screen ",dialogue
"Mr. Blackwood clears his throat behind her, breaking into her concentration ",actions
"""I need you to prioritize this job, Lyra,"" he says firmly, his eyes fixed intently on hers ",dialogue
She feels a surge of frustration and resentment at being pushed around yet again ,exposition
"Lyra takes a deep breath and forces herself back into the task, trying to push aside her doubts and unease ",actions
"The hours tick by in a blur as she works tirelessly on the map, trying to erase the ocean from existence ",description
"But every now and then, a nagging voice whispers in the back of her mind: what if this is all just a lie? ",exposition
"Lyra's hand hesitates over the mouse, pausing mid-click as she glances around the small office for an escape ",actions
"Mr. Blackwood sits quietly at his desk across from her, watching her every move with an unnerving intensity ",description
"""Just focus on the task,"" he growls under his breath, making Lyra's skin crawl ",dialogue
"The sound of her computer beeping and whirring fills the silence between them, a steady reminder that she is trapped in this routine ",exposition
"As the day wears on, Lyra starts to feel like she's losing herself in the endless sea of coordinates and blank spaces ",description
Her eyes begin to sting from staring at the screen for so long; she needs a break before she can continue ,actions
"""I'm going to grab some lunch,"" Lyra says, her voice barely above a whisper as she tries to slip out unnoticed ",dialogue
"Mr. Blackwood's head snaps up, his eyes narrowing suspiciously as he watches her leave the office ",description
"Outside in the bright sunlight, Lyra feels a momentary reprieve from the stifling atmosphere of her workspace ",exposition
But even the fresh air and sounds of the city can't shake the creeping sense of disconnection and unease that's been growing inside her ,description
"She pauses at the edge of the rooftop garden, looking out over the cityscape with a sense of detachment ",actions
"Lyra takes a few deep breaths, letting the cool breeze fill her lungs as she tries to shake off the feeling of being trapped ",exposition
"The sound of footsteps behind her signals Mr. Blackwood's approach, and Lyra feels a knot form in her stomach as he catches up to her ",actions
"""Lyra, we need to discuss your work,"" he says curtly, his tone brooking no argument ",dialogue
