Text,pin
Lyra stumbles upon an old notebook in her attic with cryptic messages scrawled in the margins ,exposition
"The notes mention something about ""Project Erebus"" and a group known as ""The Tides"" ",description
"Lyra's curiosity is piqued, and she decides to dig deeper into the mystery ",actions
"She starts researching online, but every lead seems to be blocked or deleted ",exposition
"Frustrated, Lyra takes a walk along the beach, clearing her head ",description
"A piece of paper catches her eye - it's a note with a single sentence: ""Meet me at the old lighthouse"" ",actions
The note has no signature or indication of who sent it ,exposition
Lyra feels a shiver run down her spine as she wonders if someone is watching her ,description
She decides to investigate further and heads towards the lighthouse ,actions
"As she approaches the lighthouse, she sees a figure waiting for her in the shadows ",description
"The figure steps forward, revealing a woman with piercing green eyes ",dialogue
"""You're looking for answers,"" the woman says, her voice low and husky ",description
"Lyra nods, still trying to process what's happening ",actions
"The woman introduces herself as Maya, but asks Lyra not to ask her last name ",dialogue
Maya hands Lyra a small folder with documents and maps inside ,actions
"The documents appear to be official government files, but they're heavily redacted ",exposition
"Maya explains that she's a member of ""The Cartographer"" - a group working to uncover the truth about Project Erebus ",dialogue
"Lyra is skeptical, but something about Maya's words resonates with her ",description
"Maya takes Lyra on a tour of the lighthouse, showing her hidden rooms and secret passageways ",actions
"As they walk, Maya explains that The Cartographer has been tracking a hidden underground network fighting against the ocean's erasure ",dialogue
Lyra realizes that she's stumbled upon something much bigger than herself ,exposition
Maya warns Lyra that the government will stop at nothing to keep their secrets safe ,description
Lyra feels a surge of determination and decides to join forces with The Cartographer ,actions
"As they part ways, Maya hands Lyra a small device that looks like a smartwatch ",actions
"The device has a cryptic message on its screen: ""Erebus Rising"" ",exposition
"Lyra returns home, her mind racing with questions and possibilities ",description
"She starts to analyze the documents and maps Maya gave her, searching for any clues ",actions
"As she studies the files, Lyra discovers a shocking truth about her own family's past ",exposition
The revelation makes her wonder if she's been living a lie all along ,description
"With newfound resolve, Lyra decides to take control of her life and join The Cartographer in their fight against the government ",actions
